The bag lady	the bag lady	1
Chez Panisse cafe	chez panisse cafe	1
The french laundry	the french laundry	1
Spago	spago	1
Chipotle	chipotle	1
McDonald's	mcdonald 's	1
Pizza Hut	pizza hut	1
Starbucks	starbucks	1
Wendy's	wendy 's	1
Panda express	panda express	1
Subway	subway	1
Burger King	burger king	1
Taste	taste	1
Dunkin donuts	dunkin donuts	1
Kentucky fried chicken	kentucky fried chicken	1
Papa Johns pizza	papa johns pizza	1
Popeyes	popeyes	1
